Airline,Origin,Dest,DepHour,flight_count
9E,ABE,ATL,6,358
9E,ABE,ATL,12,288
9E,ABE,ATL,14,70
9E,ABE,ATL,17,279
9E,ABY,ATL,7,18
9E,ABY,ATL,16,10
9E,AEX,ATL,6,363
9E,AEX,ATL,11,159
9E,AEX,ATL,12,15
9E,AEX,ATL,13,17
9E,AEX,ATL,16,313
9E,AGS,ATL,6,263
9E,AGS,ATL,7,304
9E,AGS,ATL,10,178
9E,AGS,ATL,11,37
9E,AGS,ATL,12,107
9E,AGS,ATL,13,159
9E,AGS,ATL,14,55
9E,AGS,ATL,15,127
9E,AGS,ATL,16,111
9E,AGS,ATL,17,10
9E,AGS,ATL,18,48
9E,AGS,ATL,19,113
9E,AGS,ATL,20,32
9E,ALB,DTW,5,30
9E,ALB,DTW,12,186
9E,ALB,DTW,13,61
9E,ALB,DTW,17,92
9E,ALB,DTW,18,63
9E,ALB,LGA,5,238
9E,ALB,LGA,7,98
9E,ALB,LGA,8,11
9E,ALB,LGA,11,52
9E,ALB,LGA,12,50
9E,ALB,LGA,13,93
9E,ALB,LGA,14,89
9E,ATL,ABE,9,278
9E,ATL,ABE,10,10
9E,ATL,ABE,11,71
9E,ATL,ABE,14,138
9E,ATL,ABE,15,142
9E,ATL,ABE,19,10
9E,ATL,ABE,20,33
9E,ATL,ABE,21,310
9E,ATL,ABY,14,10
9E,ATL,ABY,19,19
9E,ATL,AEX,10,172
9E,ATL,AEX,11,19
9E,ATL,AEX,14,156
9E,ATL,AEX,15,158
9E,ATL,AEX,19,171
9E,ATL,AEX,20,94
9E,ATL,AEX,21,86
9E,ATL,AGS,8,170
9E,ATL,AGS,9,28
9E,ATL,AGS,10,20
9E,ATL,AGS,11,147
9E,ATL,AGS,12,171
9E,ATL,AGS,13,58
9E,ATL,AGS,14,162
9E,ATL,AGS,15,30
9E,ATL,AGS,17,172
9E,ATL,AGS,18,51
9E,ATL,AGS,19,176
9E,ATL,AGS,20,115
9E,ATL,AGS,21,10
9E,ATL,AGS,22,228
9E,ATL,AVL,9,11
9E,ATL,AVL,11,18
9E,ATL,AVL,13,12
9E,ATL,AVL,15,12
9E,ATL,AVL,18,10
9E,ATL,AVL,20,13
9E,ATL,BHM,18,13
9E,ATL,BMI,14,359
9E,ATL,BMI,19,33
9E,ATL,BMI,21,277
9E,ATL,BMI,22,47
9E,ATL,BQK,11,46
9E,ATL,BQK,16,36
9E,ATL,BQK,19,35
9E,ATL,BTR,8,89
9E,ATL,BTR,9,39
