DepHour,total_flights,delay_rate
0,12102,0.20021484052222774
1,4001,0.21269682579355162
2,1511,0.20780939774983453
3,1069,0.19457436856875585
4,526,0.20152091254752852
5,197159,0.09056649709118021
6,487660,0.09577779600541361
7,486842,0.12292078333422342
8,476025,0.13862927367260122
9,390538,0.15296334799686587
10,433405,0.16501886226508694
11,436330,0.17736804712029886
12,413834,0.19149707370588206
13,416993,0.2128405033178015
14,400009,0.23362474344327253
15,401151,0.2495244932706138
16,401988,0.2696498402937401
17,435578,0.2782647424801069
18,426686,0.29387652746984905
19,380008,0.2998121092187533
20,311154,0.3044087493652661
21,230458,0.2836959445972802
22,162702,0.27161927941881475
23,57538,0.2130244360248879
