Airline,Origin,Dest,typical_distance,typical_hour
9E,ABE,ATL,692,12
9E,ABY,ATL,145,12
9E,AEX,ATL,500,11
9E,AGS,ATL,143,11
9E,AGS,AUS,949,14
9E,AGS,DCA,468,13
9E,AGS,DTW,615,12
9E,AGS,JFK,675,16
9E,AGS,LGA,678,11
9E,ALB,DTW,489,12
9E,ALB,LGA,136,7
9E,ATL,ABE,692,15
9E,ATL,ABY,145,15
9E,ATL,AEX,500,15
9E,ATL,AGS,143,15
9E,ATL,ATW,765,20
9E,ATL,AUS,813,9
9E,ATL,AVL,164,13
9E,ATL,BHM,134,18
9E,ATL,BMI,533,14
9E,ATL,BNA,214,10
9E,ATL,BQK,238,16
9E,ATL,BTR,448,13
9E,ATL,CAE,192,11
9E,ATL,CHA,106,15
9E,ATL,CHO,457,15
9E,ATL,CID,694,9
9E,ATL,CLT,226,15
9E,ATL,CRW,363,15
9E,ATL,CSG,83,16
9E,ATL,CVG,373,16
9E,ATL,DAY,432,9
9E,ATL,DHN,170,15
9E,ATL,DSM,743,9
9E,ATL,ECP,240,14
9E,ATL,EVV,350,16
9E,ATL,EYW,646,17
9E,ATL,FAY,331,14
9E,ATL,FSD,954,10
9E,ATL,FWA,508,14
9E,ATL,GNV,300,13
9E,ATL,GPT,352,10
9E,ATL,GSO,306,15
9E,ATL,GSP,153,15
9E,ATL,GTR,241,13
9E,ATL,HPN,780,13
9E,ATL,HSV,151,13
9E,ATL,ICT,782,11
9E,ATL,ILM,377,12
9E,ATL,JAN,341,11
9E,ATL,LEX,304,13
9E,ATL,LFT,503,15
9E,ATL,LIT,453,17
9E,ATL,MDT,620,15
9E,ATL,MEM,332,11
9E,ATL,MGM,147,13
9E,ATL,MLI,633,15
9E,ATL,MLU,448,16
9E,ATL,MOB,302,12
9E,ATL,MSN,707,15
9E,ATL,MSP,907,16
9E,ATL,OAJ,399,11
9E,ATL,OKC,761,10
9E,ATL,PNS,271,12
9E,ATL,RDU,356,19
9E,ATL,ROA,357,9
9E,ATL,SBN,566,11
9E,ATL,SGF,563,15
9E,ATL,SHV,551,14
9E,ATL,TLH,223,12
9E,ATL,TRI,227,13
9E,ATL,TUL,674,11
9E,ATL,TYS,152,18
9E,ATL,VLD,208,15
9E,ATL,VPS,250,13
9E,ATL,XNA,589,14
9E,ATW,ATL,765,5
9E,ATW,DTW,296,12
9E,ATW,MSP,236,12
9E,AUS,AGS,949,10
9E,AUS,CVG,958,10
9E,AUS,GNV,924,9
9E,AUS,MSP,1042,17
9E,AUS,RDU,1162,11
9E,AUS,XNA,462,13
9E,AVL,ATL,164,12
9E,AVL,LGA,599,12
9E,AZO,DTW,113,10
9E,BDL,DTW,549,18
9E,BDL,LGA,101,6
9E,BDL,MSP,1050,14
9E,BGM,DTW,378,7
9E,BGM,LGA,147,7
9E,BGR,JFK,382,7
9E,BGR,LGA,378,12
9E,BHM,ATL,134,9
9E,BHM,DTW,625,17
9E,BHM,LGA,866,11
9E,BIS,MSP,386,15
9E,BMI,ATL,533,6
9E,BNA,ATL,214,18
9E,BNA,EYW,849,12
9E,BNA,JFK,765,18
9E,BNA,LGA,764,16
9E,BNA,RDU,442,9
9E,BOS,CVG,752,10
9E,BQK,ATL,238,13
