Origin,Dest,typical_distance,typical_hour
ABE,ATL,692,12
ABE,BNA,685,12
ABE,CLT,481,11
ABE,DEN,1539,9
ABE,FLL,1041,10
ABE,MCO,906,8
ABE,MLB,914,8
ABE,MYR,518,12
ABE,ORD,655,6
ABE,PGD,1018,13
ABE,PIE,970,9
ABE,SFB,882,12
ABE,SRQ,1000,10
ABI,DFW,158,10
ABQ,ATL,1269,11
ABQ,AUS,619,10
ABQ,BUR,672,14
ABQ,BWI,1670,14
ABQ,DAL,580,12
ABQ,DEN,349,13
ABQ,DFW,569,10
ABQ,HOU,759,11
ABQ,IAH,744,8
ABQ,JFK,1826,23
ABQ,LAS,486,13
ABQ,LAX,677,12
ABQ,LGB,664,12
ABQ,MCI,718,13
ABQ,MCO,1553,13
ABQ,MDW,1121,8
ABQ,MSP,981,7
ABQ,OAK,889,6
ABQ,ORD,1118,12
ABQ,PDX,1111,18
ABQ,PHX,328,12
ABQ,SAN,628,12
ABQ,SAT,609,12
ABQ,SEA,1180,16
ABQ,SFO,896,7
ABQ,SLC,493,12
ABR,MSP,257,11
ABY,ATL,145,12
ACK,BOS,91,14
ACK,CLT,723,12
ACK,DCA,405,12
ACK,HPN,191,18
ACK,JFK,199,14
ACK,LGA,202,13
ACK,ORD,924,15
ACK,PHL,289,16
ACT,DFW,89,10
ACV,DEN,1026,12
ACV,LAX,577,15
ACV,SFO,250,14
ACY,FLL,977,12
ACY,MCO,852,12
ACY,MYR,466,16
ACY,PBI,936,9
ACY,RSW,982,7
ACY,TPA,913,13
ADK,ANC,1192,14
ADQ,ANC,253,9
AEX,ATL,500,11
AEX,DFW,285,10
AGS,ATL,143,11
AGS,AUS,949,13
AGS,BOS,861,13
AGS,CLT,140,11
AGS,DCA,468,6
AGS,DFW,874,16
AGS,DTW,615,12
AGS,JFK,675,16
AGS,LGA,678,11
AGS,MCO,343,14
AGS,MIA,531,11
AGS,ORD,677,14
AGS,PBI,474,10
AGS,PHL,583,18
AGS,PHX,1731,12
AKN,ANC,288,17
ALB,ATL,853,12
ALB,BNA,825,11
ALB,BWI,289,12
ALB,CLT,646,11
ALB,DCA,318,12
ALB,DEN,1610,14
ALB,DFW,1435,6
ALB,DTW,489,12
ALB,EWR,143,6
ALB,FLL,1204,7
ALB,LAS,2237,13
ALB,LGA,136,7
ALB,MCO,1073,14
ALB,MDW,717,13
ALB,MIA,1225,7
ALB,MYR,685,16
ALB,ORD,723,11
ALB,PGD,1185,18
ALB,PIE,1138,18
ALB,RSW,1205,11
ALB,SFB,1049,10
ALB,TPA,1130,14
ALW,SEA,213,13
AMA,AUS,418,14
AMA,DAL,323,11
AMA,DEN,359,9
AMA,DFW,312,12
AMA,HOU,537,15
AMA,IAH,517,12
AMA,LAS,758,16
ANC,ADK,1192,11
ANC,ADQ,253,13
ANC,AKN,288,14
ANC,ATL,3417,20
ANC,BET,399,10
ANC,BRW,725,14
ANC,CDV,160,13
ANC,DEN,2405,23
ANC,DFW,3043,20
ANC,DLG,329,9
ANC,DTW,2986,23
ANC,EWR,3370,20
ANC,FAI,261,19
ANC,HNL,2777,17
ANC,IAD,3356,20
ANC,IAH,3266,22
ANC,JFK,3386,20
